	BackhedF_2015__SID133_B__bin.7	OlmMR_2017__S2_005_027G1__bin.6	HeQ_2017__SZAXPI029503-106__bin.19	FerrettiP_2018__CA_C10019IS2352FE_t3M15__bin.2	BritoIL_2016__M1.7.ST__bin.24	BackhedF_2015__SID105_4M__bin.12	OlmMR_2017__S2_005_022G1__bin.2	QinN_2014__LD-66__bin.8	OlmMR_2017__S2_005_023G1__bin.3	YuJ_2015__SZAXPI015267-102__bin.21	QinN_2014__LD-23__bin.10	FerrettiP_2018__CA_C10029IS2503FE_t3M15__bin.1	ZellerG_2014__CCIS63468405ST-4-0__bin.73	BackhedF_2015__SID615_B__bin.13	OlmMR_2017__S2_005_025G1__bin.3	OlmMR_2017__S2_005_028G1__bin.7	QinN_2014__LD-51__bin.65	OlmMR_2017__S2_005_024G1__bin.10	FerrettiP_2018__CA_C10034IS2591FE_t3M15__bin.11	ZellerG_2014__CCIS59903910ST-4-0__bin.5	FerrettiP_2018__CA_C10002IS2023FE_t2M15__bin.8	BackhedF_2015__SID544_4M__bin.1	QinJ_2012__DLM010__bin.14	OlmMR_2017__S2_005_019G1__bin.4	BackhedF_2015__SID608_B__bin.4	OlmMR_2017__S2_005_026G1__bin.1	GeversD_2014__SKBSTL036__bin.45	QinN_2014__LD-85__bin.60	HeQ_2017__RSZAXPI003097-131__bin.33	OlmMR_2017__S2_005_022G1__bin.11	CM_madagascar__A04_01_1FE__bin.3	QinN_2014__LD-28__bin.14	FengQ_2015__SID530451__bin.19	OlmMR_2017__S2_005_018G1__bin.5	FerrettiP_2018__CA_C10019IS2329FE_t4M15__bin.4	OlmMR_2017__S2_005_024G1__bin.3	VatanenT_2016__G80587__bin.4	OlmMR_2017__S2_005_021G1__bin.6	BackhedF_2015__SID180_B__bin.11	OlmMR_2017__S2_005_020G1__bin.10
CM_madagascar__A04_01_1FE__bin.3	25413.0	25046.0	55993.0	41845.0	10860.0	42958.0	33487.0	55965.0	55117.0	13755.0	38880.0	54450.0	37235.0	55822.0	58460.0	58314.0	53694.0	33654.0	34601.0	52952.0	52077.0	63016.0	34198.0	45887.0	56522.0	29030.0	33201.0	13941.0	30166.0	25044.0	0.0	54194.0	28910.0	27876.0	50979.0	25125.0	65145.0	38833.0	51868.0	36149.0
QinN_2014__LD-28__bin.14	27515.0	22099.0	44518.0	32119.0	54502.0	31590.0	26867.0	51373.0	41775.0	63954.0	31331.0	39351.0	30086.0	49210.0	48604.0	48583.0	12099.0	27066.0	23142.0	40640.0	39194.0	66065.0	25484.0	38201.0	41874.0	25353.0	25627.0	69944.0	19829.0	22222.0	54194.0	0.0	19316.0	24878.0	39146.0	22125.0	67885.0	33296.0	12420.0	29078.0
FengQ_2015__SID530451__bin.19	16823.0	6556.0	13949.0	14845.0	26438.0	16299.0	15190.0	21398.0	20380.0	29844.0	8021.0	17708.0	16298.0	21624.0	21605.0	21562.0	18558.0	15253.0	13164.0	15146.0	19674.0	36037.0	14091.0	18387.0	17872.0	7907.0	8718.0	31959.0	11851.0	6485.0	28910.0	19316.0	0.0	7770.0	18011.0	6543.0	32377.0	11739.0	18792.0	15313.0
OlmMR_2017__S2_005_018G1__bin.5	11182.0	120.0	24115.0	16825.0	30193.0	7430.0	312.0	25752.0	279.0	33411.0	24597.0	23590.0	11828.0	24140.0	120.0	83.0	24284.0	304.0	10831.0	23005.0	11176.0	32409.0	11813.0	1467.0	23304.0	154.0	23749.0	35916.0	2278.0	86.0	27876.0	24878.0	7770.0	0.0	20245.0	72.0	33613.0	182.0	22087.0	897.0
FerrettiP_2018__CA_C10019IS2329FE_t4M15__bin.4	24933.0	17965.0	36058.0	166.0	47959.0	28035.0	23014.0	42056.0	35501.0	55822.0	26147.0	35130.0	26417.0	39606.0	40688.0	40747.0	38687.0	22986.0	21692.0	35738.0	34143.0	60199.0	23413.0	32099.0	34178.0	20560.0	21769.0	60342.0	19979.0	17951.0	50979.0	39146.0	18011.0	20245.0	0.0	17958.0	60054.0	27621.0	37183.0	25152.0
OlmMR_2017__S2_005_024G1__bin.3	10358.0	28.0	21624.0	14937.0	27357.0	6222.0	323.0	22364.0	336.0	30331.0	21651.0	20861.0	10904.0	21027.0	48.0	6.0	21628.0	283.0	9937.0	20610.0	8825.0	29566.0	10789.0	1273.0	20538.0	111.0	20955.0	32678.0	1500.0	116.0	25125.0	22125.0	6543.0	72.0	17958.0	0.0	30495.0	71.0	19741.0	782.0
VatanenT_2016__G80587__bin.4	27185.0	30491.0	68026.0	50199.0	61621.0	49513.0	35989.0	66727.0	58730.0	69639.0	46213.0	64447.0	42295.0	65421.0	66109.0	66125.0	68331.0	35925.0	40513.0	64306.0	57483.0	63700.0	39976.0	50824.0	67228.0	34419.0	40860.0	75705.0	34469.0	30454.0	65145.0	67885.0	32377.0	33613.0	60054.0	30495.0	0.0	43948.0	65196.0	40809.0
OlmMR_2017__S2_005_021G1__bin.6	15486.0	95.0	32533.0	23233.0	40199.0	10557.0	319.0	34234.0	350.0	46079.0	33035.0	31814.0	16303.0	32799.0	174.0	140.0	32645.0	294.0	15390.0	30551.0	15641.0	43533.0	17054.0	2007.0	30897.0	176.0	28903.0	49221.0	8701.0	114.0	38833.0	33296.0	11739.0	182.0	27621.0	71.0	43948.0	0.0	29885.0	1098.0
BackhedF_2015__SID180_B__bin.11	26345.0	19783.0	38946.0	30532.0	49811.0	30972.0	25511.0	46757.0	39475.0	58525.0	28604.0	35991.0	28833.0	44840.0	45003.0	44815.0	12597.0	25676.0	22629.0	37612.0	38073.0	64052.0	25299.0	35847.0	38216.0	22706.0	23738.0	62964.0	19187.0	19714.0	51868.0	12420.0	18792.0	22087.0	37183.0	19741.0	65196.0	29885.0	0.0	27579.0
OlmMR_2017__S2_005_020G1__bin.10	16728.0	812.0	28151.0	19974.0	34573.0	9910.0	677.0	30914.0	949.0	40255.0	18085.0	27373.0	16044.0	30538.0	1209.0	1120.0	28869.0	719.0	17240.0	27793.0	15973.0	42459.0	17727.0	2462.0	27895.0	692.0	14376.0	44392.0	18043.0	794.0	36149.0	29078.0	15313.0	897.0	25152.0	782.0	40809.0	1098.0	27579.0	0.0
