	ZeeviD_2015__PNP_DietIntervention_8__bin.59	ZeeviD_2015__PNP_Main_740__bin.7	LiuW_2016__SRR3992977__bin.5	BritoIL_2016__W3.23.ST__bin.37	CM_madagascar__V31_01_2FE__bin.4	BritoIL_2016__M2.11.ST__bin.54	CM_madagascar__A09_02_1FE__bin.52	BritoIL_2016__WL.33.ST__bin.20	BackhedF_2015__SID377_M__bin.20	CM_madagascar__A93_01_1FE__bin.13	CosteaPI_2017__SID713B033-11-90-0__bin.37	CM_madagascar__A83_02_1FE__bin.23	SchirmerM_2016__G89002__bin.6	CM_madagascar__A92_01_1FE__bin.11	FengQ_2015__SID530026__bin.77	LiSS_2016__FAT_012-22-84-0__bin.14	LiuW_2016__SRR3993030__bin.34	CM_madagascar__V30_01_1FE__bin.15	CM_madagascar__A95_01_1FE__bin.37	FengQ_2015__SID31449__bin.44	LiuW_2016__SRR3993011__bin.58	CM_madagascar__V18_02_1FE__bin.4	CM_madagascar__A39_04_1FE__bin.29	CM_madagascar__A36_01_1FE__bin.6	LiSS_2016__FAT_023-22-42-0__bin.7	CosteaPI_2017__SID713A078-11-0-0__bin.40	CM_madagascar__V40_01_1FE__bin.60	BritoIL_2016__M1.15.ST__bin.56	XieH_2016__YSZC12003_37210__bin.7	LiSS_2016__FAT_006-22-0-0__bin.79	ZellerG_2014__CCIS11362406ST-4-0__bin.21	LiuW_2016__SRR3993002__bin.18	CosteaPI_2017__SID713B074-11-0-0__bin.52	FengQ_2015__SID530450__bin.62	XieH_2016__YSZC12003_35515__bin.28	CM_madagascar__A13_01_1FE__bin.33	ZeeviD_2015__PNP_DietIntervention_28__bin.20	CM_madagascar__A90_03_1FE__bin.26	CM_madagascar__A28_02_1FE__bin.38	LiuW_2016__SRR3993015__bin.93	BackhedF_2015__SID503_M__bin.48	YuJ_2015__SZAXPI003411-6__bin.52	FengQ_2015__SID31477__bin.4	CosteaPI_2017__SID713B058-11-90-0__bin.16
ZellerG_2014__CCIS11362406ST-4-0__bin.21	50273.0	57317.0	39527.0	32551.0	27794.0	29899.0	44419.0	41342.0	56110.0	41444.0	59069.0	46630.0	51896.0	45262.0	31019.0	55868.0	56638.0	33197.0	48184.0	40564.0	43286.0	35748.0	40252.0	47178.0	61540.0	58695.0	24278.0	27926.0	49725.0	40691.0	0.0	44909.0	53734.0	21250.0	61302.0	33966.0	43683.0	46739.0	39240.0	42317.0	49746.0	45891.0	50374.0	58321.0
LiuW_2016__SRR3993002__bin.18	21125.0	23618.0	16590.0	39385.0	31021.0	36267.0	47815.0	45022.0	49522.0	44256.0	24657.0	49413.0	20431.0	48114.0	11671.0	23790.0	21408.0	36432.0	49181.0	14838.0	17540.0	37170.0	41127.0	47966.0	25181.0	23491.0	27112.0	36331.0	20190.0	46667.0	44909.0	0.0	21423.0	24271.0	22179.0	36520.0	19233.0	47640.0	41758.0	17191.0	46461.0	46251.0	20415.0	23237.0
CosteaPI_2017__SID713B074-11-0-0__bin.52	25185.0	28805.0	19072.0	44592.0	36145.0	43877.0	58667.0	55368.0	58271.0	54593.0	29634.0	57767.0	23550.0	57052.0	15839.0	28460.0	27283.0	42934.0	58732.0	18100.0	23323.0	45363.0	50239.0	57434.0	30240.0	27195.0	32130.0	41122.0	23366.0	54141.0	53734.0	21423.0	0.0	30575.0	28009.0	40716.0	22949.0	58913.0	49358.0	21571.0	55543.0	54894.0	24456.0	27787.0
FengQ_2015__SID530450__bin.62	27122.0	31753.0	20413.0	17931.0	16000.0	18752.0	24505.0	24130.0	31808.0	22854.0	32440.0	24549.0	29386.0	24603.0	23860.0	31328.0	32273.0	17917.0	24819.0	29379.0	21701.0	19819.0	22557.0	25120.0	33311.0	31232.0	14394.0	16202.0	27802.0	24173.0	21250.0	24271.0	30575.0	0.0	32518.0	19112.0	24910.0	24463.0	21613.0	22332.0	32435.0	26363.0	28069.0	32151.0
XieH_2016__YSZC12003_35515__bin.28	26573.0	30604.0	21271.0	50728.0	41229.0	47235.0	67840.0	62016.0	66121.0	60997.0	33560.0	66278.0	23075.0	64958.0	17180.0	30211.0	29521.0	49065.0	67184.0	18835.0	23271.0	51461.0	58554.0	66379.0	34018.0	31719.0	35964.0	47203.0	24880.0	63266.0	61302.0	22179.0	28009.0	32518.0	0.0	47144.0	23810.0	67962.0	56596.0	22828.0	61502.0	59860.0	25818.0	30831.0
CM_madagascar__A13_01_1FE__bin.33	38795.0	45618.0	31848.0	26719.0	15608.0	26428.0	26429.0	32515.0	39884.0	22492.0	44865.0	28050.0	39820.0	25261.0	25779.0	44283.0	44084.0	22112.0	29476.0	33724.0	33572.0	22266.0	22839.0	26133.0	46061.0	43810.0	15750.0	25171.0	38779.0	33587.0	33966.0	36520.0	40716.0	19112.0	47144.0	0.0	35312.0	26272.0	23834.0	33612.0	38064.0	37394.0	40805.0	45100.0
ZeeviD_2015__PNP_DietIntervention_28__bin.20	7543.0	23086.0	17640.0	37996.0	30475.0	37084.0	48382.0	46516.0	49756.0	44728.0	25868.0	47692.0	20876.0	47331.0	12831.0	23042.0	23279.0	35711.0	48094.0	15763.0	21440.0	38267.0	42337.0	46892.0	24794.0	24021.0	26261.0	34303.0	20509.0	46649.0	43683.0	19233.0	22949.0	24910.0	23810.0	35312.0	0.0	48063.0	41435.0	19518.0	47685.0	45059.0	21722.0	24431.0
CM_madagascar__A90_03_1FE__bin.26	54121.0	63771.0	41924.0	34628.0	20625.0	34364.0	34319.0	44255.0	54970.0	31028.0	64596.0	34621.0	55269.0	34351.0	33724.0	60197.0	60278.0	26371.0	39253.0	42893.0	46787.0	25901.0	30033.0	24134.0	66295.0	63179.0	17406.0	31381.0	53079.0	46594.0	46739.0	47640.0	58913.0	24463.0	67962.0	26272.0	48063.0	0.0	31938.0	44409.0	48819.0	46809.0	54226.0	63264.0
CM_madagascar__A28_02_1FE__bin.38	46525.0	53969.0	36907.0	31146.0	18969.0	30977.0	30376.0	37973.0	47923.0	28554.0	54325.0	30992.0	47740.0	23295.0	28598.0	52292.0	52181.0	24151.0	32911.0	38675.0	40754.0	25495.0	28349.0	32874.0	55103.0	52634.0	18153.0	27680.0	45907.0	39417.0	39240.0	41758.0	49358.0	21613.0	56596.0	23834.0	41435.0	31938.0	0.0	40158.0	43123.0	41856.0	48668.0	54441.0
LiuW_2016__SRR3993015__bin.93	21250.0	24366.0	12884.0	36377.0	27881.0	35060.0	44558.0	43019.0	46892.0	42462.0	24465.0	44715.0	18920.0	44916.0	12143.0	22274.0	16560.0	35223.0	45111.0	15161.0	19591.0	34919.0	39432.0	43787.0	24673.0	22470.0	25751.0	32836.0	18909.0	44289.0	42317.0	17191.0	21571.0	22332.0	22828.0	33612.0	19518.0	44409.0	40158.0	0.0	42717.0	43440.0	20258.0	23044.0
