	FerrettiP_2018__CA_C10042MS2723SA_t0M16__bin.24	HMP_2012__SRS044373__bin.55	HMP_2012__SRS019045__bin.46	CM_cf__CF_TNFC041IS_t2M15__bin.5	CM_cf__CF_TNFC041SA_t1M15__bin.7	HMP_2012__SRS014684__bin.2	LiJ_2017__H3M518112__bin.15	CM_cf__CF_TNFC018SA_t1M16__bin.3	CM_cf__CF_TNFC060SA_t1M16__bin.3	CM_cf__CF_TNFC048SA_t1M16__bin.1	FerrettiP_2018__CA_C10039IS2678SA_t2M15__bin.2	HMP_2012__SRS018591__bin.11	HMP_2012__SRS014470__bin.8	Castro-NallarE_2015__ES_137__bin.11	HMP_2012__SRS015057__bin.45	HMP_2012__SRS018791__bin.39	CM_cf__CF_TNFC034SS_t1M15__bin.6	CM_cf__CF_TNFC060IS_t1M15__bin.6	HMP_2012__SRS017713__bin.25	FerrettiP_2018__CA_C10009MS2133SA_t0M15__bin.19	HMP_2012__SRS015272__bin.25	HMP_2012__SRS019022__bin.34	Castro-NallarE_2015__ES_114__bin.27	FerrettiP_2018__CA_C10015IS2250SA_t2M15__bin.2	FerrettiP_2018__CA_C10055IS2966SA_t2M16__bin.10	HMP_2012__SRS015537__bin.16	CM_cf__CF_TNFC059SA_t1M16__bin.1	CM_cf__CF_TNFC034SA_t1M16__bin.2	FerrettiP_2018__CA_C10023IS2394SA_t2M15__bin.3	CM_cf__CF_TNFC038SA_t1M16__bin.15	HMP_2012__SRS016086__bin.6	CM_cf__CF_TNFC018IS_t3M15__bin.5	FerrettiP_2018__CA_C10039MS2669SA_t0M15__bin.11	FerrettiP_2018__CA_C10001MS2001SA_t0M15__bin.6	HMP_2012__SRS015941__bin.16	HMP_2012__SRS051791__bin.41	BritoIL_2016__WL.15.SA__bin.6	CM_cf__CF_TNFC054IS_t1M15__bin.19	HMP_2012__SRS024637__bin.14	HMP_2012__SRS016319__bin.66	HMP_2012__SRS017076__bin.19	HMP_2012__SRS057791__bin.37
HMP_2012__SRS016086__bin.6	28034.0	26799.0	31868.0	21259.0	29941.0	36739.0	39585.0	33435.0	32739.0	30733.0	26642.0	39297.0	22391.0	21950.0	23297.0	25749.0	23807.0	36224.0	29042.0	38391.0	25773.0	35817.0	24196.0	18748.0	21463.0	34610.0	26430.0	33191.0	15427.0	22877.0	0.0	31112.0	26036.0	21751.0	23566.0	35115.0	23887.0	23268.0	24712.0	22228.0	23073.0	19580.0
CM_cf__CF_TNFC018IS_t3M15__bin.5	39021.0	38138.0	33010.0	30022.0	37973.0	37919.0	41386.0	681.0	38848.0	41791.0	38999.0	41795.0	35622.0	25215.0	35974.0	38304.0	17500.0	40692.0	36456.0	42725.0	41092.0	38765.0	29590.0	22197.0	23893.0	39611.0	33376.0	29787.0	25489.0	31464.0	31112.0	0.0	37145.0	26813.0	37825.0	36954.0	25515.0	30045.0	35907.0	32452.0	32207.0	27130.0
FerrettiP_2018__CA_C10039MS2669SA_t0M15__bin.11	35608.0	35698.0	44893.0	34170.0	34884.0	49988.0	50835.0	51252.0	49372.0	41526.0	9768.0	52621.0	35138.0	26800.0	36157.0	38389.0	21214.0	49713.0	39532.0	53459.0	37937.0	47010.0	24581.0	18538.0	21076.0	48034.0	44121.0	35885.0	19875.0	25908.0	26036.0	37145.0	0.0	26934.0	34064.0	43172.0	36826.0	20713.0	28861.0	30618.0	27108.0	30416.0
FerrettiP_2018__CA_C10001MS2001SA_t0M15__bin.6	30888.0	29325.0	35244.0	28715.0	28592.0	38706.0	41644.0	36836.0	37707.0	34513.0	25876.0	38845.0	29773.0	22770.0	31564.0	30870.0	15154.0	37462.0	30537.0	40592.0	33018.0	36583.0	19597.0	13990.0	15671.0	36745.0	33658.0	25937.0	16255.0	22460.0	21751.0	26813.0	26934.0	0.0	29783.0	32133.0	29794.0	16597.0	23874.0	27111.0	22430.0	25063.0
HMP_2012__SRS015941__bin.16	31877.0	30749.0	43315.0	31548.0	34594.0	46463.0	51198.0	47960.0	45876.0	38128.0	33663.0	49657.0	29992.0	25989.0	30940.0	34159.0	22781.0	48379.0	34756.0	52019.0	34657.0	46866.0	21906.0	16961.0	20301.0	46655.0	39176.0	37114.0	19673.0	26851.0	23566.0	37825.0	34064.0	29783.0	0.0	42522.0	35039.0	23047.0	26388.0	29361.0	24245.0	14077.0
HMP_2012__SRS051791__bin.41	42607.0	43654.0	43258.0	34124.0	41739.0	46992.0	49549.0	45350.0	37643.0	46317.0	46208.0	4675.0	41124.0	26132.0	41914.0	43431.0	23253.0	39098.0	39601.0	42444.0	47234.0	47076.0	30639.0	23308.0	25366.0	37039.0	32260.0	38143.0	24103.0	35540.0	35115.0	36954.0	43172.0	32133.0	42522.0	0.0	33274.0	29308.0	38217.0	37136.0	35455.0	35737.0
BritoIL_2016__WL.15.SA__bin.6	34829.0	34051.0	33366.0	31077.0	32904.0	35971.0	37469.0	35672.0	36224.0	37550.0	39405.0	39339.0	34573.0	22526.0	35639.0	37570.0	12209.0	37226.0	34967.0	39494.0	39966.0	33529.0	21884.0	14007.0	15618.0	36065.0	33146.0	23813.0	18497.0	28190.0	23887.0	25515.0	36826.0	29794.0	35039.0	33274.0	0.0	20085.0	27127.0	30352.0	26087.0	30624.0
CM_cf__CF_TNFC054IS_t1M15__bin.19	18113.0	23657.0	28424.0	17203.0	23350.0	32922.0	34315.0	31521.0	30577.0	26642.0	18996.0	33794.0	19114.0	17861.0	20364.0	21505.0	25584.0	33080.0	24152.0	35704.0	23485.0	34190.0	23426.0	16771.0	19638.0	31477.0	24640.0	36047.0	15511.0	18048.0	23268.0	30045.0	20713.0	16597.0	23047.0	29308.0	20085.0	0.0	22718.0	18055.0	20187.0	16709.0
HMP_2012__SRS024637__bin.14	28811.0	26431.0	36627.0	22584.0	31471.0	41547.0	43365.0	38301.0	37669.0	31310.0	28666.0	42981.0	25140.0	22621.0	25663.0	22013.0	24820.0	40351.0	29732.0	43381.0	27476.0	41826.0	24193.0	19128.0	21908.0	40600.0	31459.0	38323.0	20131.0	22737.0	24712.0	35907.0	28861.0	23874.0	26388.0	38217.0	27127.0	22718.0	0.0	25276.0	6283.0	21790.0
HMP_2012__SRS016319__bin.66	27849.0	27652.0	38704.0	26484.0	30273.0	41986.0	44273.0	40677.0	38275.0	32989.0	29829.0	43101.0	28815.0	21993.0	29414.0	29885.0	20249.0	41175.0	32127.0	43245.0	30353.0	40049.0	22752.0	14063.0	17209.0	40081.0	32925.0	31498.0	15785.0	23270.0	22228.0	32452.0	30618.0	27111.0	29361.0	37136.0	30352.0	18055.0	25276.0	0.0	23429.0	23595.0
