	BackhedF_2015__SID567_4M__bin.10	FengQ_2015__SID531274__bin.2	ZeeviD_2015__PNP_Main_229__bin.18	ZeeviD_2015__PNP_Main_217__bin.18	BackhedF_2015__SID637_B__bin.10	BackhedF_2015__SID589_B__bin.1	HeQ_2017__SZAXPI029601-32__bin.19	HMP_2012__SRS019974__bin.30	VogtmannE_2016__MMRS17603756ST-27-0-0__bin.30	BackhedF_2015__SID544_4M__bin.5	HMP_2012__SRS064329__bin.52	QinJ_2012__CON-015__bin.17	GeversD_2014__SKBSTL041__bin.16	XieH_2016__YSZC12003_35733__bin.5	HMP_2012__SRS022077__bin.8	HMP_2012__SRS018791__bin.29	FengQ_2015__SID530451__bin.60	CM_cf__CF_TNFC017IS_t4M16__bin.11	XieH_2016__YSZC12003_35551__bin.43	FengQ_2015__SID530705__bin.47	QinN_2014__LD-30__bin.25	HMP_2012__SRS013502__bin.28	BackhedF_2015__SID256_12M__bin.14	XieH_2016__YSZC12003_36119__bin.73	FengQ_2015__SID530185__bin.38	SchirmerM_2016__G89165__bin.13	BackhedF_2015__SID105_B__bin.3	FengQ_2015__SID31004__bin.5	XieH_2016__YSZC12003_35734__bin.24	CM_cf__CF_TNFC048IS_t2M15__bin.21	FengQ_2015__SID31705__bin.14	BackhedF_2015__SID585_12M__bin.1	HMP_2012__SRS053854__bin.1	FerrettiP_2018__CA_C10049IS2857FE_t2M16__bin.6	QinN_2014__LD-2__bin.13	FengQ_2015__SID531248__bin.27	BackhedF_2015__SID282_B__bin.5	KarlssonFH_2013__S370__bin.37	QinN_2014__LD-33__bin.28	XieH_2016__YSZC12003_37229__bin.72	KarlssonFH_2013__S441__bin.47	QinN_2014__LD-5__bin.26	GeversD_2014__SKBSTL042__bin.50	BackhedF_2015__SID598_M__bin.2	BackhedF_2015__SID38_4M__bin.1	HMP_2012__SRS018439__bin.27
FengQ_2015__SID31705__bin.14	50423.0	37137.0	33543.0	59919.0	41854.0	45448.0	28069.0	21187.0	36776.0	29778.0	24016.0	42929.0	36053.0	47052.0	28414.0	45100.0	34622.0	43326.0	40659.0	60552.0	24618.0	40909.0	50434.0	32816.0	35742.0	29983.0	26130.0	46643.0	51266.0	40126.0	0.0	50759.0	46817.0	48467.0	56867.0	30957.0	53677.0	54263.0	27457.0	31691.0	25351.0	52358.0	22395.0	53315.0	37811.0	30056.0
BackhedF_2015__SID585_12M__bin.1	27003.0	49929.0	42906.0	63643.0	56960.0	53045.0	33000.0	22085.0	43439.0	34313.0	26667.0	59390.0	45101.0	61475.0	30375.0	49148.0	48549.0	55961.0	32307.0	64357.0	31526.0	45865.0	59615.0	41606.0	45837.0	33843.0	30390.0	26132.0	57790.0	53948.0	50759.0	0.0	52959.0	48899.0	74846.0	32679.0	63107.0	59269.0	34427.0	37340.0	28085.0	64676.0	21428.0	61303.0	45633.0	37581.0
HMP_2012__SRS053854__bin.1	51818.0	46101.0	40425.0	54344.0	52513.0	50818.0	35196.0	19578.0	42036.0	31058.0	29281.0	56544.0	42145.0	52027.0	34349.0	40845.0	42388.0	50606.0	44107.0	55852.0	31768.0	42359.0	49271.0	37860.0	42853.0	23252.0	28495.0	52149.0	50279.0	49846.0	46817.0	52959.0	0.0	56032.0	69313.0	30409.0	54521.0	54786.0	33753.0	36347.0	29057.0	59720.0	24376.0	53888.0	42520.0	36491.0
FerrettiP_2018__CA_C10049IS2857FE_t2M16__bin.6	43720.0	48981.0	42972.0	68998.0	57051.0	52714.0	34083.0	22496.0	43482.0	33711.0	27691.0	56431.0	45104.0	61344.0	31719.0	52532.0	46188.0	55584.0	40710.0	69648.0	30953.0	47841.0	61508.0	39598.0	45134.0	35870.0	30995.0	44012.0	63578.0	51624.0	48467.0	48899.0	56032.0	0.0	75434.0	33757.0	65207.0	62916.0	35323.0	38210.0	30247.0	65591.0	22164.0	63322.0	44541.0	37436.0
QinN_2014__LD-2__bin.13	74888.0	59471.0	45257.0	81837.0	69267.0	64819.0	26224.0	28853.0	54120.0	41545.0	33489.0	40412.0	55832.0	74981.0	42840.0	60951.0	55671.0	68099.0	60479.0	82271.0	20925.0	57737.0	74801.0	47980.0	53558.0	43353.0	36376.0	73560.0	72784.0	66050.0	56867.0	74846.0	69313.0	75434.0	0.0	44742.0	76325.0	79092.0	26687.0	46822.0	37994.0	50342.0	32386.0	73305.0	57056.0	45837.0
FengQ_2015__SID531248__bin.27	32334.0	27804.0	27376.0	38059.0	29943.0	29861.0	22480.0	15643.0	25734.0	22333.0	19133.0	37884.0	27580.0	35239.0	24055.0	29838.0	27037.0	31773.0	28546.0	37433.0	23451.0	27988.0	34996.0	27139.0	22083.0	21352.0	20540.0	32086.0	34829.0	32016.0	30957.0	32679.0	30409.0	33757.0	44742.0	0.0	36374.0	35342.0	23877.0	25697.0	21585.0	42290.0	17482.0	34390.0	28970.0	24689.0
BackhedF_2015__SID282_B__bin.5	63185.0	51659.0	44282.0	67783.0	60368.0	58136.0	35096.0	22650.0	44089.0	34712.0	29017.0	60721.0	49415.0	61139.0	37616.0	50979.0	47663.0	58829.0	51482.0	68743.0	34265.0	46631.0	59964.0	41450.0	45763.0	35428.0	22664.0	63382.0	62226.0	53151.0	53677.0	63107.0	54521.0	65207.0	76325.0	36374.0	0.0	67080.0	37498.0	37613.0	30607.0	67218.0	27914.0	61821.0	47509.0	41342.0
KarlssonFH_2013__S370__bin.37	59311.0	52633.0	44998.0	72974.0	60967.0	54282.0	35939.0	23338.0	46541.0	36770.0	27848.0	61271.0	47594.0	65582.0	35728.0	50718.0	48923.0	59106.0	50619.0	70917.0	33420.0	51299.0	62764.0	43769.0	48388.0	35604.0	34106.0	58958.0	61708.0	58311.0	54263.0	59269.0	54786.0	62916.0	79092.0	35342.0	67080.0	0.0	38210.0	43412.0	31436.0	68614.0	25435.0	66570.0	47523.0	40376.0
QinN_2014__LD-33__bin.28	34953.0	29126.0	25947.0	39913.0	31504.0	31662.0	19883.0	18094.0	26871.0	34056.0	26791.0	22776.0	27269.0	34515.0	33914.0	33348.0	29067.0	30120.0	31654.0	38543.0	13472.0	26341.0	37266.0	27049.0	27772.0	23652.0	29121.0	33820.0	36022.0	30076.0	27457.0	34427.0	33753.0	35323.0	26687.0	23877.0	37498.0	38210.0	0.0	33694.0	21931.0	27781.0	16244.0	36542.0	29889.0	25106.0
XieH_2016__YSZC12003_37229__bin.72	38544.0	31854.0	30600.0	44143.0	34150.0	34296.0	31549.0	18622.0	29477.0	32276.0	27478.0	39972.0	30213.0	30173.0	34149.0	36607.0	30562.0	30998.0	33597.0	42418.0	23349.0	32209.0	37636.0	28256.0	30773.0	24640.0	27579.0	36909.0	39403.0	31338.0	31691.0	37340.0	36347.0	38210.0	46822.0	25697.0	37613.0	43412.0	33694.0	0.0	22715.0	44768.0	17286.0	41094.0	28749.0	28176.0
