	HMP_2012__SRS019126__bin.26	HMP_2012__SRS023958__bin.34	FerrettiP_2018__CA_C10005MS2061SA_t0M15__bin.32	HMP_2012__SRS063288__bin.15	HMP_2012__SRS019127__bin.32	HMP_2012__SRS018145__bin.57	HMP_2012__SRS047824__bin.58	HMP_2012__SRS057539__bin.64	HMP_2012__SRS022530__bin.53	HMP_2012__SRS022621__bin.36	HMP_2012__SRS023926__bin.59	HMP_2012__SRS013252__bin.16	HMP_2012__SRS057205__bin.2	HMP_2012__SRS024441__bin.2	HMP_2012__SRS011115__bin.71	HMP_2012__SRS015644__bin.55	HMP_2012__SRS022077__bin.47	HMP_2012__SRS017209__bin.31	HMP_2012__SRS018300__bin.3	HMP_2012__SRS077736__bin.49	HMP_2012__SRS062761__bin.49	HMP_2012__SRS042131__bin.27	HMP_2012__SRS016037__bin.60	CM_cf__CF_TNFC057IS_t1M15__bin.15	HMP_2012__SRS016002__bin.40	HMP_2012__SRS019327__bin.47	HMP_2012__SRS013164__bin.35	HMP_2012__SRS017439__bin.53	HMP_2012__SRS017808__bin.52	HMP_2012__SRS057692__bin.13	HMP_2012__SRS015762__bin.44	HMP_2012__SRS019122__bin.5	HMP_2012__SRS042643__bin.39	HMP_2012__SRS021496__bin.20	HMP_2012__SRS011306__bin.51	HMP_2012__SRS043663__bin.27	HMP_2012__SRS016225__bin.43	HMP_2012__SRS063193__bin.55	HMP_2012__SRS024277__bin.47	CM_cf__CF_TNFC057SA_t1M16__bin.3	HMP_2012__SRS024081__bin.3	HMP_2012__SRS011243__bin.13	HMP_2012__SRS064329__bin.27
HMP_2012__SRS019122__bin.5	797.0	52961.0	37264.0	51737.0	2773.0	41689.0	54284.0	104881.0	80588.0	94667.0	58170.0	115920.0	35383.0	55748.0	94771.0	57367.0	58839.0	35946.0	92586.0	64120.0	84860.0	54749.0	66646.0	29833.0	47593.0	43075.0	58737.0	47760.0	58887.0	60368.0	41504.0	0.0	100027.0	90429.0	61249.0	95051.0	56424.0	59447.0	57925.0	31388.0	55583.0	27904.0	53034.0
HMP_2012__SRS042643__bin.39	100066.0	85951.0	70345.0	72752.0	98894.0	72917.0	100897.0	62228.0	78712.0	61859.0	99077.0	68825.0	70092.0	96407.0	69760.0	97119.0	88628.0	61436.0	69913.0	48961.0	61942.0	96422.0	53181.0	55222.0	85853.0	81638.0	93578.0	95345.0	99230.0	86876.0	72590.0	100027.0	0.0	66259.0	79551.0	68617.0	93065.0	85830.0	76094.0	56033.0	90185.0	56236.0	89317.0
HMP_2012__SRS021496__bin.20	91220.0	79969.0	64369.0	51538.0	90487.0	67056.0	90898.0	70728.0	39095.0	63078.0	92189.0	72616.0	62806.0	89010.0	3558.0	89448.0	78343.0	55575.0	67668.0	51368.0	61948.0	86883.0	51364.0	52501.0	78220.0	75199.0	87036.0	84037.0	88566.0	81423.0	67378.0	90429.0	66259.0	0.0	74387.0	68818.0	84936.0	78745.0	73506.0	51777.0	80580.0	51628.0	79705.0
HMP_2012__SRS011306__bin.51	62298.0	58388.0	43511.0	53850.0	60579.0	47857.0	63803.0	83222.0	74749.0	76737.0	64869.0	90576.0	43102.0	58064.0	77604.0	59315.0	56769.0	36963.0	77701.0	54419.0	71054.0	57843.0	55553.0	35808.0	51042.0	47907.0	61575.0	58784.0	62100.0	57653.0	44334.0	61249.0	79551.0	74387.0	0.0	79418.0	54451.0	49986.0	56001.0	35824.0	57195.0	32422.0	55996.0
HMP_2012__SRS043663__bin.27	95820.0	84310.0	66410.0	68626.0	94580.0	67841.0	99263.0	72069.0	79429.0	54810.0	99299.0	78901.0	66460.0	93433.0	72937.0	94535.0	82135.0	56293.0	76825.0	54195.0	1817.0	91742.0	48398.0	51721.0	82998.0	77166.0	92696.0	89856.0	94379.0	85730.0	68711.0	95051.0	68617.0	68818.0	79418.0	0.0	89731.0	83891.0	75924.0	51450.0	87252.0	52357.0	84628.0
HMP_2012__SRS016225__bin.43	57228.0	55798.0	37370.0	52922.0	56331.0	43918.0	58464.0	97236.0	79848.0	87725.0	63055.0	106659.0	40284.0	52918.0	87899.0	56177.0	53700.0	35317.0	82712.0	63930.0	80064.0	54564.0	64538.0	31848.0	48432.0	43272.0	61479.0	53242.0	58775.0	59335.0	46800.0	56424.0	93065.0	84936.0	54451.0	89731.0	0.0	53824.0	55210.0	32353.0	54502.0	28887.0	51523.0
HMP_2012__SRS063193__bin.55	60725.0	56006.0	40949.0	52458.0	59857.0	45390.0	61927.0	91171.0	77418.0	81125.0	64950.0	98053.0	40329.0	56987.0	82182.0	59413.0	58593.0	36365.0	80538.0	58391.0	76133.0	55834.0	57722.0	33882.0	51282.0	44376.0	61333.0	56059.0	62241.0	61295.0	43339.0	59447.0	85830.0	78745.0	49986.0	83891.0	53824.0	0.0	54993.0	33723.0	56451.0	31810.0	53695.0
HMP_2012__SRS024277__bin.47	58899.0	58717.0	40005.0	49528.0	57603.0	45305.0	60316.0	83258.0	69707.0	73638.0	60816.0	85855.0	42550.0	56446.0	75012.0	54704.0	52509.0	33855.0	73389.0	50219.0	67183.0	51063.0	55055.0	33775.0	49592.0	45124.0	62278.0	55692.0	58433.0	58431.0	44248.0	57925.0	76094.0	73506.0	56001.0	75924.0	55210.0	54993.0	0.0	35334.0	49645.0	31530.0	49629.0
CM_cf__CF_TNFC057SA_t1M16__bin.3	31800.0	31707.0	24689.0	31624.0	31530.0	28218.0	31426.0	60082.0	47299.0	53801.0	32826.0	64647.0	22978.0	31851.0	52418.0	32054.0	31731.0	21372.0	53439.0	37050.0	47031.0	29697.0	38225.0	607.0	26578.0	24143.0	32841.0	29286.0	30298.0	34205.0	24780.0	31388.0	56033.0	51777.0	35824.0	51450.0	32353.0	33723.0	35334.0	0.0	30210.0	17602.0	27723.0
HMP_2012__SRS024081__bin.3	56689.0	51282.0	36684.0	51906.0	56019.0	40151.0	53719.0	96523.0	80040.0	88213.0	57010.0	103396.0	37882.0	51396.0	87140.0	49259.0	50184.0	33269.0	87217.0	60956.0	77260.0	46681.0	63802.0	29189.0	45711.0	39726.0	57171.0	51080.0	55438.0	54224.0	42786.0	55583.0	90185.0	80580.0	57195.0	87252.0	54502.0	56451.0	49645.0	30210.0	0.0	24807.0	7057.0
HMP_2012__SRS011243__bin.13	28110.0	29513.0	21013.0	29467.0	27645.0	24362.0	27835.0	59113.0	46147.0	55286.0	32064.0	64198.0	21093.0	26951.0	52108.0	28899.0	27553.0	18586.0	50671.0	36552.0	47503.0	27599.0	38812.0	17827.0	23935.0	21742.0	31135.0	25352.0	27770.0	31363.0	23938.0	27904.0	56236.0	51628.0	32422.0	52357.0	28887.0	31810.0	31530.0	17602.0	24807.0	0.0	23958.0
HMP_2012__SRS064329__bin.27	53919.0	48216.0	35078.0	49393.0	53617.0	38314.0	50558.0	93761.0	78749.0	87217.0	54238.0	102535.0	35680.0	49841.0	85393.0	47886.0	47340.0	31299.0	82809.0	59535.0	75017.0	45517.0	62923.0	27187.0	43696.0	37544.0	54487.0	47574.0	52188.0	52194.0	41327.0	53034.0	89317.0	79705.0	55996.0	84628.0	51523.0	53695.0	49629.0	27723.0	7057.0	23958.0	0.0
