	HMP_2012__SRS022071__bin.72	KarlssonFH_2013__S278__bin.14	RaymondF_2016__P1E0__bin.43	NielsenHB_2014__O2_UC31_0__bin.13	NielsenHB_2014__O2_UC40_2__bin.1	ZeeviD_2015__PNP_Main_223__bin.14	RampelliS_2015__H16__bin.44	RampelliS_2015__H15__bin.1	VogtmannE_2016__MMRS77487595ST-27-0-0__bin.22	ZeeviD_2015__PNP_Main_282__bin.34	NielsenHB_2014__V1_CD38_0__bin.62	XieH_2016__YSZC12003_37583__bin.3	LiJ_2014__O2.UC31-1__bin.33	RampelliS_2015__H27__bin.20	NielsenHB_2014__O2_UC44_0__bin.31	XieH_2016__YSZC12003_36526__bin.4	ZeeviD_2015__PNP_Validation_93__bin.16	XieH_2016__YSZC12003_37196__bin.19	CosteaPI_2017__SID713A005-11-90-0__bin.64	LeChatelierE_2013__MH0430__bin.89	VogtmannE_2016__MMRS94549160ST-27-0-0__bin.59	LeChatelierE_2013__MH0457__bin.85	Bengtsson-PalmeJ_2015__TRAVELRES11__bin.101	NielsenHB_2014__MH0069__bin.2	ZeeviD_2015__PNP_Main_643__bin.24	ZeeviD_2015__PNP_Main_756__bin.41	RaymondF_2016__P1E7__bin.24	ZeeviD_2015__PNP_Main_116__bin.30	ZeeviD_2015__PNP_Main_744__bin.5	CosteaPI_2017__SID713B040-11-90-0__bin.59	XieH_2016__YSZC12003_35561__bin.37	LeChatelierE_2013__MH0069__bin.18	ZellerG_2014__CCIS00146684ST-4-0__bin.38	XieH_2016__YSZC12003_35550__bin.17	LeChatelierE_2013__MH0126__bin.18	LiJ_2014__V1.FI14__bin.49	CosteaPI_2017__SID713B063-11-0-0__bin.59	QinN_2014__HD-18__bin.24	XieH_2016__YSZC12003_35698__bin.46	XieH_2016__YSZC12003_37181R1__bin.36	LiJ_2014__O2.UC40-1__bin.33	CosteaPI_2017__SID713A087-11-0-0__bin.41
XieH_2016__YSZC12003_35561__bin.37	12520.0	10355.0	15682.0	16807.0	16888.0	9093.0	16678.0	19634.0	18206.0	6542.0	20180.0	9158.0	4920.0	15060.0	19742.0	18754.0	16694.0	19461.0	16227.0	1153.0	17462.0	14187.0	11720.0	8507.0	8194.0	8816.0	16124.0	7873.0	16184.0	17679.0	0.0	8842.0	13169.0	14457.0	14581.0	16813.0	11952.0	19286.0	20033.0	15993.0	19156.0	17585.0
LeChatelierE_2013__MH0069__bin.18	18877.0	17899.0	27045.0	26119.0	27856.0	3322.0	24909.0	30076.0	26531.0	2510.0	31930.0	11144.0	15037.0	24954.0	33444.0	32887.0	24919.0	33089.0	28699.0	14296.0	26608.0	23835.0	22539.0	783.0	3238.0	16061.0	27257.0	3183.0	24629.0	17440.0	8842.0	0.0	22146.0	26004.0	25154.0	25592.0	19284.0	33195.0	28951.0	27184.0	22022.0	31301.0
ZellerG_2014__CCIS00146684ST-4-0__bin.38	11831.0	5665.0	23869.0	5442.0	25974.0	23110.0	19530.0	23554.0	4679.0	18260.0	27651.0	16103.0	3904.0	19973.0	30322.0	30907.0	4784.0	30721.0	27267.0	14454.0	18226.0	21457.0	21423.0	19885.0	20061.0	12655.0	24714.0	21027.0	2284.0	13992.0	13169.0	22146.0	0.0	23257.0	23943.0	4909.0	14398.0	31677.0	26625.0	26053.0	19912.0	29152.0
XieH_2016__YSZC12003_35550__bin.17	21678.0	18790.0	22617.0	28918.0	12913.0	27309.0	21230.0	25524.0	28894.0	21412.0	26156.0	16710.0	18574.0	24052.0	3881.0	3964.0	28533.0	4867.0	12834.0	6273.0	30720.0	19021.0	3144.0	23616.0	23376.0	20198.0	22726.0	25465.0	26884.0	10764.0	14457.0	26004.0	23257.0	0.0	8678.0	28161.0	23947.0	13995.0	2426.0	12327.0	7349.0	13045.0
LeChatelierE_2013__MH0126__bin.18	22197.0	18900.0	19930.0	28328.0	13003.0	25928.0	22882.0	26186.0	29028.0	20024.0	24662.0	16491.0	15705.0	23380.0	9722.0	9989.0	28608.0	9755.0	12585.0	2265.0	30964.0	18734.0	6850.0	23064.0	21241.0	19701.0	20095.0	24861.0	26807.0	12241.0	14581.0	25154.0	23943.0	8678.0	0.0	28715.0	23445.0	13698.0	7496.0	11780.0	8993.0	13468.0
LiJ_2014__V1.FI14__bin.49	13798.0	7224.0	28568.0	7036.0	31040.0	26552.0	23659.0	27248.0	4573.0	21355.0	33653.0	20137.0	5021.0	23760.0	37033.0	36723.0	6028.0	36713.0	32453.0	15650.0	20953.0	25915.0	25287.0	23272.0	22499.0	13683.0	28995.0	25534.0	4662.0	19111.0	16813.0	25592.0	4909.0	28161.0	28715.0	0.0	16761.0	38007.0	32481.0	31555.0	25921.0	35063.0
CosteaPI_2017__SID713B063-11-0-0__bin.59	11612.0	12095.0	24839.0	16802.0	24866.0	20618.0	18199.0	23785.0	16377.0	15945.0	26510.0	14433.0	11284.0	20737.0	31576.0	31230.0	15962.0	30513.0	27408.0	14784.0	12796.0	20337.0	21138.0	17579.0	17539.0	10454.0	24385.0	19427.0	15796.0	13886.0	11952.0	19284.0	14398.0	23947.0	23445.0	16761.0	0.0	32302.0	26096.0	26978.0	19510.0	30740.0
QinN_2014__HD-18__bin.24	29315.0	25479.0	27088.0	39576.0	5754.0	35820.0	27789.0	33143.0	39115.0	26976.0	31094.0	21805.0	23394.0	29576.0	17138.0	17312.0	38647.0	16701.0	1962.0	9034.0	42686.0	23430.0	11511.0	30274.0	29202.0	26226.0	27405.0	33003.0	36818.0	14294.0	19286.0	33195.0	31677.0	13995.0	13698.0	38007.0	32302.0	0.0	12290.0	2103.0	2047.0	2382.0
XieH_2016__YSZC12003_35698__bin.46	24869.0	20939.0	21350.0	34182.0	11643.0	30978.0	25981.0	28758.0	33589.0	22183.0	25953.0	22526.0	17296.0	25175.0	1028.0	1947.0	32251.0	1627.0	11609.0	3072.0	36227.0	19172.0	1393.0	25438.0	24212.0	20856.0	21347.0	28215.0	30778.0	15485.0	20033.0	28951.0	26625.0	2426.0	7496.0	32481.0	26096.0	12290.0	0.0	11199.0	9868.0	12029.0
XieH_2016__YSZC12003_37181R1__bin.36	23525.0	21384.0	22256.0	32148.0	5517.0	28730.0	22487.0	26854.0	31785.0	22056.0	25640.0	17979.0	18743.0	24816.0	14288.0	14697.0	31002.0	14288.0	2751.0	7589.0	34096.0	19599.0	9959.0	24943.0	23617.0	21956.0	22321.0	27359.0	30080.0	12076.0	15993.0	27184.0	26053.0	12327.0	11780.0	31555.0	26978.0	2103.0	11199.0	0.0	2881.0	3322.0
LiJ_2014__O2.UC40-1__bin.33	18947.0	16290.0	15462.0	26188.0	1410.0	23159.0	21040.0	22270.0	26250.0	15800.0	18962.0	20735.0	9907.0	18507.0	9549.0	9903.0	25475.0	10011.0	2809.0	1798.0	27609.0	13771.0	5720.0	19280.0	17310.0	14722.0	15846.0	21162.0	23675.0	15167.0	19156.0	22022.0	19912.0	7349.0	8993.0	25921.0	19510.0	2047.0	9868.0	2881.0	0.0	2641.0
